idx,questions,choices,labels
1316,"If disneyland were to be built in California, why would planners choose that state?",sea|windowsill|disneyland|desert|summer,2
1317,"If a person is shy, what do they feel when meeting people for the first time?",anxiety|stress|being bored|smile|making new friends,1
1318,What might be a reaction if I were to start communicating to others?,engagement|people to think|exchanging ideas|distributed information|sharing of knowledge,1
1319,What happens to the temperature if you turn up the thermostat?,drop to zero|drop rapidly|gets colder|increase|heat up,3
1320,Jane's baking oven was broken and she was afraid to use it.  She didn't want to burn what?,pizza parlor|store|house|pie shop|stove,2
1321,"Some kids are shy in school, so taking a shower where can be intimidating?",bath room|motel room|pool|locker room|at hotel,3
1322,John would do anything because he didn't care.  He would do what?,fall down|surprise|matter to|whatever|run,3
1323,Where would you get an action figure if you do not have one?,eat cake|little boy's toy box|theater|bathtub|toy store,4
1324,"He was studying anatomy, he knew that the main artery in his neck provided blood to his what?",own brain|busy city|thruway|hand|neck,0
1325,Where can fungus grow on walls?,shower stall|salad|locker room|basement|bathroom,3
1326,"John couldn't arise from his position, so he remained at his desk. What might his position be?",get down|kneeling|lie down|lay down|sitting down,4
1327,What might have a drop of flood on their fingertip?,needle|person|clock|test tube|battlefield,1
1328,The heir to this country's throne isn't the prince of it. What country is it?,fairy tale|egypt|england|europe|castle,2
1329,Where might a child go who has no home?,school|orphanage|most homes|recreational|pen,1
1330,Crabs crawl along the bottom of what?,bodies of water|fish market|aquarium|saltwater|galapagos,0
1331,Why does this person eat so much?,gain weight|promise to do|catch cold|finish food|fear death,0
1332,Someone who gets nervous and doesn't know how to dance might do what when they attempt to start dancing?,wallflower|stand down|sitting still|stand still|standing still,3
1333,Almost everyone who has been driving a car has seen or been in a what?,getting tired|go somewhere|water pollute|backache|automobile accidents,4
1334,"His want for more was insatiable, a what wasn't enough?",presence|overabundance|stockpile|plentitude|morman,3
1335,Where can you buy grapes directly from their growers?,grocery cart|kitchen|fridge|fruit market|super market,3
1336,Where would a woman keep a dollar bill?,wallet|pocket|mailbox|buy coke|purse,4
1337,"James spent a lot of time walking long distances.   He walked not because he liked it, it made his feet sore, nut because it was his only means of what?",lose weight|moving forward|blisters|locomotion|meditation,3
1338,"He never took for granted living in the land of the free, for he was once a what abroad?",caged in|see work|slavery|topfree|prisoner,4
1339,Most people have what which they use to carry things?,two eyes|two hands|two arms|carry bags|ears,1
1340,Nations agreeing with each other will lead to what?,taco tuesday|like|problem|peace|contract,3
1341,"If I want to keep my floor covering down, what should I put the tack in?",carpet|bulliten board|message board|bulletin board|wall,0
1342,Lips are found on a person's what?,body|knee|motion|faces|human face,3
1343,"Sam thought that his efforts were necessary, but in reality the accomplished nothing.  They were what?",superfluous|useless|swap cs|unneeded|useless,4
1344,What is a place that sells suntan lotion but not food or medicine?,mini mall|shop|grocery store|pharmacy|drugstore,1
1345,"I was driving a car and had a heart attack at 80 mph, what awaits me?",new car|wreak|getting somewhere|death|getting tired,3
1346,People are genetically most likely to have this on top of their head?,horns|two eyes|brown hair|drug problem|feelings,2
1347,Where would you put condiments if you are planning to use them soon?,kitchen|pantry|table|refrigerator|container,2
1348,Where will someone go for killing?,investigation|court|going to jail|dies|death of,2
1349,Sally bought bubblegum. Where might she have gotten it?,supermarket|theater|street|pocket|church,0
1350,what does getting divorce induce in someone who doesn't want it?,freedom|joy|depression|anguish|tears,2
1351,Where would you find a trash can while enjoying the great outdoors?,water cooler|alley|park|food place|motel,2
1352,"He didn't have the attention span for reading book, so he would just what and pretend he was reading?",sit|falling asleep|eat cake|learning|fall asleep,0
1353,James owned a historic deli.  It had some protections that helped him keep it open.  It was an important landmark where?,new york city|indianapolis|office building|shopping center|strip mall,0
1354,"If something is very hard but you just manage to be able to do it, it can be called what?",controvertible|interesting|easy|agreeable|bearable,4
1355,Where is the sky fake?,shed|atmosphere|photo|outdoors|planetarium,4
1356,"Before the game some players knelt to pray, they did this because they what?",being watched|you're scared|were religious|god hears|talk to god,2
1357,What is the name of a place where cargo is stored?,at sea|ship's hold|aeroplane|airplane|boat,1
1358,"Visiting museum was an emotional experience for the old veteran, he hid it best he could but he began to what?",cry|whisper|appriciation|take pictures|feeling proud,0
1359,"The rooms in the experimental home were quite unique, they weren't the traditional what?",posessions in|high walls|doors and windows|triangles|square shape,4
1360,How does one decide if instituting a particular civil action is fair?,restitution|anger|trial|court case|confusion,2
1361,Where are people who do the same kind of work likely to gather?,train station|convention|workplace|wedding|theater,1
1362,What happens after eating dinner?,heart burn|become tired|become full|flatulence|indigestion,2
1363,What would cause a ship to stop moving?,near shore|a romulian space craft|sail on sea|heading east|run aground,4
1364,What is a train-related expression for exhaustion?,have rest|run out of steam|go to sleep|tuckered out|stay in bed,1
1365,Where would you find a lot of beds?,bedford|rest area|neighbor's house|hospital|loft,3
1366,Where can you find the tallest skyscraper in the mid-western U.S.?,high population|manhattan|new york city|chicago|large city,3
1367,What might having a check up lead to for some people?,pain|good behavior|uncertainty|anxiety|stress,3
1368,"He was competing for the prestigious prize, though it had no money, what was he seeking by attempting to get it?",enemies|rivalry|bad blood|accomplishment|game,3
1369,"The flour was stored away from the kids so they couldn't play with it, where was it?",pantry|grocery store|cupboard|kitchen|table,0
1370,"The teacher explained it used a cathode ray tube like other screens, but this what measured things?",vacuum tube|television|computer|cathode ray|oscilloscope,4
1371,If a contract is not signed it will be?,rejected|dumb|written on paper|signed|revised,0
1372,Where can you find cord along side nails and bolts?,delivery room|garage|sporting goods store|office|hardware store,4
1373,"The climber was suffering elevation sickness, his wits were suffering what?",diminishment|reduction|depression|demotion|disgust,0
1374,James was watching TV when he saw flashing lights that did something bad to him.  What might john have had?,falling asleep|entertainment|scared him|headache|seizure,4
1375,How much money should we print if we want to fight inflation?,happiness|sense of accomplishment|not very much|dissatisfaction|saving money,2
1376,What must someone have in order to shop?,have money|sleep|bring flowers|go to market|get money,0
1377,"The always greeted each other with a kiss, it was a simple way to do what?",manipulate|show affection|companion|seperate|electrical circuit,1
1378,"There was a dog, it was barking loudly.  James wasn't scared of it though, because it was confined.  Where might it have been confined to?",backyard|kitchen cupboard|front door|table|park,0
1379,"The magician guessed it was a king, he was very good with a what?",hierarchy|court|chess game|deck of cards|chess set,3
1380,If you see cars with a light blinking on the driver's side what does that indicate they will do?,slow down|go forward|get to town|turn left|turn right,3
1381,"If a person is looking at houses, what is their end goal?",own property|cross street|bring home|will succeed|mortgage,0
1382,"The dairy cow farm was special, it provided all the milk for the big chocolate company from where?",ranch|tennessee|barnyard|switzerland|antarctica,3
1383,"If playing the saxophone wasn't enough, she also had to learn the choreographed moves on the field to perform with the what?",music store|actors|store sells instruments|marching band|orchestra,3
1384,John spent an hour in the bath just relaxing.  He enjoyed the sensations of it. He liked doing what?,invigorating|being clean|fall asleep|deep breathing|feeling good,4
1385,You can see bald eagles along the Mississippi in what state?,iowa|wisconsin|currency|new mexico|canada,0
1386,James wanted to socialize more because he felt he lacked what?,free time|entertainment|input|meet people|friendship,4
1387,What country has the carpathians and is the furthest in the direction of the side that won the U.S. Civil War?,slovakia|slovenia|poland|ukraine|romania,2
1388,In the Roman Empire a person who was not of noble birth was called a what?,inferior|plebeian|priest|common|ignoble,1
1389,Where might a motionless horse be?,washington|painting|race track|safari|farmyard,1
1390,"The farmer sought an apple tree cultivar that was hardy in the western United States, where was he looking to plant it?",rhode island|texas|new york|idaho|new hampshire,3
1391,What does a person want to get at a restaurant?,self esteem|compliments|delicious food|easy life|fulfillment,2
1392,"The teenagers were celebrating irresponsibly, what were they doing?",drinking|lude behavior|happiness|intimacy|enjoyment,0
1393,"The mom liked giving assistance to her children, why did she do it?",law suits|feel loved|contractual obligation|happiness|out of pocket,1
1394,What does the bird have in tree?,forest|hope|sky|nest|roof,3
1395,It seemed weird to have a dental office located next to a candy store and fast food location at the what?,medical building|hospital|school|strip mall|urban area,3
1396,What relatively small area is known for its steakhouses?,maine|florida|arizona|kansas city|michigan,3
1397,Most people recognize that earth experiences a set of distinct what?,four seasons|one moon|cold tempurature|gravity|six populated continents,0
1398,Why would a person stay in a relationship with  a man?,acknowledgment|good lover|mercy|make others happy|low crime,1
1399,How do you start family?,spend money|get married|stressed|get pregnant|have sex,4
1400,"The playroom had many classic toys, the child spilled out each and every plastic monkey out of the what?",captivity|puzzle|barrel|thailand|rain forest,2
1401,When someone isn't ridiculous at all they are what?,straightforward|serious|sad|somber|solemn,1
1402,When not in a city where would expect to see a bald eagle?,painting|aviary|rural area|zoo|colorado,2
1403,"The drawing room was one of fifty rooms, where was it located?",kid's house|studio|large house|house in england|mansion,2
1404,Joe thought that the reflected sunshine made something look beautiful.  What might Joe be looking at?,desktop|moon|beach|street|a frying pan,1
1405,"If you have an empty glass and are thirsty, where would you put the glass?",refrigerator|table|dishwasher|water cooler|dining room,3
1406,"Samantha decided to join the game, but there wasn't space. She had to stay on the waitlist until someone else did what?",opt out|separate|opt out|leave|split apart,3
1407,"The drink was very sweet.  To maintain his calorie count, John thought that he should have less what?",throw up|food|coffee|stumble|food,4
1408,Graphite is referred to as lead in what writing implement?,lead pencil|black|very heavy|news article|card game,0
1409,What can we assume about people who get up early?,go sleep early|ask spouse to wake|fix up alarm|go to bed early|get rooster,0
1410,Where would you go to see a sword?,container called scabbard|school|collection|museum|sheath,3
1411,"He was a bit of an audiophile, he replaced the stylus almost as often as he switched albums to listen to on his what?",record player|palm pilot|hand|ink|fridge,0
1412,Where does a lizard that needs warmth likely live?,garden|new mexico books|tropics|china|forrest,2
1413,"The picture was clear,. Obviously, there had been a what?",murky|dirty|confusing|invisible|misunderstood,4
1414,What does everyone try their whole life to be?,sad|happy|grow old|cat|believed,1
1415,What causes meeting people to be preceded by meditation?,being bored|panic attack|anxiety|making new friends|love,2
1416,Billy hated watchign the turtle move.  He couldn't stand the silly parts.  He was annoyed by all of the what?,ridiculous|enjoyment|relaxation|stupidity|like,3
1417,Where would you go to argue about important bills?,mail box|the post office|congress|restaurant|trash,2
1418,Where would you be unlikely to find a freezer?,own home|office building|garage|appliance store|flat,2
1419,"The lady had limited time and had to buy many things, where should she go?",supermarket|grocery store|walmart|church|bathroom,0
1420,Where would you get a freezer if you do not have one?,icy cold|own home|garage|freeze food|appliance store,4
1421,"If you were doing housework and there was a lot of dust, what can it give you?",arguments|dust poisoning|headache|exhaustion|boredom,2
1422,The first or second floor is the safest from fire when you sleep where away from home?,house|office building|parking space|school|hotel,4
1423,"Everyone crowded around the toilet during a break in the event, where was the toilet?",restaurant|stadium|space shuttle|mall|bathroom,1
1424,"When chatting with friends you admire, what are you hoping to achieve?",feel close to|exchanging information|love|social approval|exchanging smiles,3
1425,There was no food in Danny place.  He had to go across the road and ask for some. Where might he have asked for food?,kitchen|military base|shelf|neighbor's house|restroom,3
1426,Sally and Joe were burned by chemicals because they ignored the signs.  She had chemical burns in her vagina.   Where might they have been?,swimming pool|beach|crystal meth lab|chemistry lab|laboratory,0
1427,"The board game instructed that you must conquer opponent, only the what would come out on top?",top piece|strong|win|total domination|best,4
1428,What happens when friends observe something at the same time?,travel together|borrow money|conspire|visit each other|see like,4
1429,John didn't like eating the hamburger.  It made him feel what?,enjoy|satisfaction|sad|death|nausea,4
1430,Where would you find a group of travellers who are travelling by road?,stop|bus depot|rest area|train station|airport,1
1431,"Steve breathed in deeply, using his diaphragm.   The diaphragm is a muscle.  Name something that has muscles?",human|woman's body|valve|pay debts|drugstore,0
1432,What doorway is likely to have a large wooden door?,home|airport|skyscraper|castle|every building,3
1433,"Where could you find a monkey, elephant, or zebra enjoying a drink?",african continent|bar|amazon basin|research laboratory|friend's house,2
1434,John saw an insect using its legs to do this.  Mary saw some insects using their wings to do this.   What is this?,buzz|sense vibrations|move|eat|fly,2
1435,What is the best course of action for a person to take if they want to get up early?,go to bed early|fix up alarm|go sleep early|dawn|ask spouse to wake,0
1436,Where are you when you need a pencil during a advanced theoretical physics speech?,desk drawer|home|university|classroom|pocket,2
1437,"Art, playing music, and other hobbies are great ways of expressing yourself that can be great what?",fight|communication|fun|understood|suffering,2
1438,Where is a variety of birds likely to be?,store|park|forest|air|countryside,4
1439,"The living conditions were poor, but the building wasn't condemned as they were still barely what?",adequate|poormouth|rich|enough|good,0
1440,Which coast are toll roads not near the pacific ocean on?,delaware|new jersey|eastern united states|connecticut|good repair,2
1441,Where would you put tin after you buy it?,hardware store|antique store|shopping bag|shed|landfill,2
1442,"Where can you buy clothing, sporting goods, and housewares?",backpack|house|department store|mall|table,2
1443,Where can you take your kids to buy things for them to play with?,disneyland|jungle|swimming pool|toy store|home,3
1444,"When they say dogs are a man's best friend, they aren't talking about just whats?",four legs|males|electrical circuit|pet|sniff,1
1445,"When a person climbs a mountain and is breathing fresh air, which feeling are they likely to have?",exhilaration|clear head|feeling better|reviving|happiness,0
1446,What might an unsuccessful writing program cause?,unexpected results|bugs|satisfaction|frustration|aggrevation,3
1447,Where is a flute likely to be in a pit?,party|orchestra|musical instrument store|marching band|symphony,1
1448,Sometimes people say that someone stupid has no what?,names|dress|brains|brown hair|two eyes,2
1449,Where would you put a ficus if you do not want it to get your carpet dirty?,ground|arboretum|apartment|refrigerator|california,0
1450,"She was distracted in thought in class, she felt alone even what?",with someone|many people|with others|surrounded|in crowd,4
1451,Where could you make a hole with your fist?,swiss cheese|football ground|ground|golf course|wall,4
1452,Where would you find a tennis court made from red clay?,new york|wimbledon|town|country club|health club,1
1453,If you legs are tired and you need to have a rest you should do what?,sleep|sit down|go to bed|run|closing eyes,1
1454,What happens to most people after playing tennis all day?,championship|becoming tired|tennis elbow|victory|friends,1
1455,Where does a television often display sports?,restaurant|living room|bar|apartment|house,2
1456,The animals all knew the importants of fluids.  They also knew what was safe to do what?,drink|feel pain|bite|fly|gay,0
1457,"After the sex she had spent the night at his house, he got up early to make and what?",love another|coffee|smoke|eat breakfast|wait for,3
1458,"The king gave a speech about it being an auspicious day, but he was assassinated in the middle of it making it actually what?",ominous|coincidental|ruinous|inauspicious|disastrous,4
1459,When having food it is common to do what other act of consumption?,drinking|playing poker|sit|talk|being greedy,0
1460,What might someone do too much  of if they are experiencing stress?,clean house|use drugs|drink alcohol|hang out at bar|dream,2
1461,Where does a small farmer keep a potato after it's done growing?,root cellar|own kitchen|clam chowder|desk drawer|kitchen cabinet,1
1462,How can people gain new perspectives?,waste paper|tickle tarantulas|pay bills|change direction|travel abroad,4
1463,"If a murderer killed people related to one's family, the family members would feel what when crying?",remorse|retaliation|terrible|anguish|wet,3
1464,Where would seats be used to watch a movie?,cinema|movies|hockey game|theater|opera,3
1465,John is an omnidiciplinarian. Where might he find success?,ocean|working hard|various situations|michigan|awards ceremony,2
1466,"If I wanted to go through a door, but it was closed, what would I have to do to it?",keep people out|enclose cupboard|teleport|glass|open,4
1467,"The small child liked looking at all the pictures of the animals and hearing his mom say the accompanying rhymes, but the jellyfish was his favorite animal in the whole what?",japanese restaurant|lake|zoo|book|current,3
1468,"If you're wet cleaning a floor while doing housework, what do you need?",fan|energy|vacuuming|mop|broom,3
1469,Beautiful lightning strikes happen on what kind of day?,november|rainy|dull|wet|average,1
1470,Drinking alcohol can make me lose this?,socialize|eating|fool|dance|sleep at night,4
1471,What are you likely to see on Independence Day?,groundhog|construction site|landmine|army|fireworks display,4
1472,Where can a shirt be found in a hotel room?,closet|drawer|garderobe|shelf|suitcase,4
1473,What do you do to make sure that you are remembering?,bad time|closing eyes|answering question|stopping to think|forgetting,3
1474,Where can I drink beer or any other alcoholic beverage?,bar|vending machine|bottle|refrigerator|hockey game,0
1475,After killing people in a rage what is someone likely to feel?,stomach ache|retaliation|sadness|remorse|going to jail,3
1476,Who is likely to use too much salt?,shaker|fast food restaurant|kitchen cupboard|people|table,1
1477,What did the friendly man do when meeting knew people to show he was happy?,say hello|start a conversation|introducing yourself|shake hands|smiling,4
1478,Where does the sun set?,outer space|horizon|beach|west|beans,3
1479,What is likely to someone in a skiing accident likely to have in more than one place?,frost bite|broken bones|chapped lips|healthy body|broken legs,1
1480,"John tried his best to care for Kate, but Kate kept throwing herself into danger.  He couldn't stand her what for her own safety?",unfeeling|disregard|indifferent|neglect|apathetic,1
1481,"The agent of change had a loath feeling for the king, he would set for a plan to have him what?",recycled|inclined|disposed|avid|enthusiastic,2
1482,A poet may need to go where to achieve learning as an adult?,classroom|english class|university|book store|home,2
1483,Where would a kitchen towel be found?,cupboard|at hotel|linen closet|under a rock|locker room,0
1484,"Answering questions followed by saying, ""sir"" or ""ma'am"" is an indication that you are what?",irritation|correct|responding|polite|sadness,3
1485,"Matt had issues controlling his anger, what did he do when someone set him off?",destroy enemy|punch|cool off|write letter|illustrate point,1
1486,"When two people are doing the same thing, what do they tend to do?",read stories|compete|help|solve problems|give orders,1
1487,Billy liked going to the party.  He enjoyed mixing.  He liked to do what?,plan|meet new people|getting drunk|have fun|the watusi,1
1488,After checking in at the ticket office the couple entered their prom in the school's what?,movie theaters|end of line|football field|auditorium|opera house,3
1489,What would a person do if they saw a bully make a person cry but they wanted no trouble?,courageous|step up|keep walking|cross street|do nothing,4
1490,"The hipsters tried to take a disingenuous kooky approach to their cafe, they were soon out of business to the competitor who took what kind of approach?",mainstream|straight|right|conventional|uneccentric,3
1491,Where is a ballpoint pen best stored?,pocket|stationery store|backpack|desk drawer|bank,3
1492,"If you cut when waiting at the ticket office, what should your punishment be?",auditorium|humans|opera house|death|end of line,4
1493,Success is usually a product of preparation and what?,awards ceremony|various situations|vocation|working hard|promotion,3
1494,What professional space is likely to have an air conditioner?,office building|texas|house|humid|warm climates,0
1495,The key to happiness while living life is to do more than what?,existing|happiness|early death|acquiring knowledge|being idle,0
1496,"He had said he would cook dinner, but first he needed to what?",hungry|buy a kitchen|buy food|buy groceries|eat food,3
1497,"Stopping being married to each other might seem like a negative thing as it is an end, but it can also be a beginning that brings what?",grief|confusion|relief|depression|happiness,4
1498,James and Jenny are good friends.  They spend a lot of time together and usually get home late.   Jenny is very smart and James likes to hear her doing something. What might James like to hear Jenny do?,tell story|sing|clean room|going out at night|jump rope,0
1499,"If I go to a bank to get money, where could I go next to get household items and food?",city|financial center|main street|grocery store|salon,3
1500,If someone is free from guilt what are they likely to achieve?,peaceful sleep|freedom from want|medal|headache|new computer,0
1501,Danny hasn't experienced all that it means to be human yet.  He is missing something important.  What might he be missing?,space shuttle|library|school|love|wife,3
1502,What is it called when two people have the same point of view?,make love|when they hug|shake hands|agree with each other|work together,3
1503,What could happen after you were hiking for only a short time?,adventure|smile|cramps|sweating|give up,1
1504,Where might people gather while they are waiting for a ride across town?,wedding|bus stop|convention|pool|apartment,1
1505,"I want to make a fortune selling houses, what should I study?",real estate|treasure chest|stock market|business|bank,0
1506,"She had a bad habit of washing hands over one thousand times a day, what did she experience as a result?",health|become wet|skin irritation|dry skin|medium,3
1507,"If there are people watching a priest, what is he doing?",on trial|drink coffee|believe in god|baptise|say mass,4
1508,What can you do while driving to work that involves sound but does not require you to move your mouth?,anger|listen to radio|speed|sing|statue,1
1509,Where does a marmoset roam free?,rainforest|kitchen|wilderness|dictionary|burrow,2
1510,What form of government is most associated with kingdoms?,monarchy|ruled by government|europe|book|king,0
1511,"Manny refused to give the court respect, and was charged with what?",dishonor|contempt|humiliate|disdain|scorn,1
1512,Where does the red cross respond to a storm?,summer|tropics|blue shield|weather report|america,4
1513,"The sloth of a man was convicted of the crime caused by his apathy, he would spend at least a hundred hours finally doing a what?",commercial|three toed|civil service|paraguay|costa rica,2
1514,"They were all sitting down and getting comfortable, this doesn't always necessarily require a what?",legs|chair|laziness|floor|sit on,1
1515,"The dog loved to run after ball, it would do it over and over until it would what?",get tired|ball stopped|fall and hurt yourself|breathe|catching,0
1516,Where can a human relax?,workplace|park|church|war zone|jail,1
1517,Where could you find many people standing inside?,school|supermarket|street corner|public place|space shuttle,3
1518,What can large amounts of water do over long periods of time?,room temperature|thin blood|make parks|take several forms|move mountains,4
1519,What does going to party with the opposite sex lead to?,get drunk|meet new people|drinking beer|enjoy yourself|having sex,4
1520,Where would children go to see different animals?,school|zoo|soccer game|disneyland|cricket stadium,1
1521,What can be the feeling of someone  giving assistance?,death|trouble|happiness|pleasure|feeling good,4
1522,John lives in a farmhouse.  There are many farmhouses close together.  You might describe this place as what?,farming community|city|rural area|framer|michigan,0
1523,Zeus was one of many men that were this in mythology?,boys|females|feminist|lady|gods,4
1524,Why would you stop chatting with friends?,learning about|meeting|misunderstanding|laughter|silliness,2
1525,"The friends enjoyed getting together to play cards, even though one of them always won because he was what?",winning|bored|have fun|excellent|good at,4
1526,John hated lying.  It made him do something.  What did lying make him do?,avoid eye contact|feel guilty|blush|turn purple|fall asleep,1
1527,If competing with others what emotion is useful for getting an advantage?,stress|anger|pumped|defeat|aggression,4
1528,Where would a dance club be the furthest in the same direction as the side that won the Civil War?,ohio|downtown area|michigan|south|united states,2
1529,The Coast Guard is a police force that often does what?,board vessels|direct traffic|ocean|force law|arrest,0
1530,When you swimming underwater you must come to the surface so you can do what?,dive|breathe air|tread water|breath control|understand themselves,1
1531,What event would a well dressed person visit a box office for?,fox theater|theater district|ballpark|theatre|counseling,3
1532,What does someone gain from getting divorce?,poorer|sadness|depression|tears|freedom,4
1533,"The chief of police was answering questions as fast as possible, what was he trying to avoid?",anger|teaching|confusion|panic|satisfaction,3
1534,What do you compete against someone in?,fair|false start|competitive|in competition|practice,3
1535,Where are you likely to find a corner shop selling hats?,subway|street corner|england|town|minnesota,2
1536,How can someone use their thinking to do things a new way?,new perspectives|knowledge|sense|best way|figure out,0
1537,What is a good way to get food hot?,fridge|field|oven|table|cupboard,2
1538,"When children are in a hurry, what might they do?",play video games|teach parents|reach over|run|rush around,4
1539,"If you have an underlying heart condition, what might running twenty six miles cause?",tiredness|passing out|death|exhaustion|heartbreak,2
1540,Where would you get some tin if you do not have any?,cupboard|hardware store|antique store|shop|grocery store,1
1541,Why do people start to play sports at the gym?,practice|compete|to have fun|get in shape|stretch,3
1542,If a person has nothing they have to do they are said to have what?,poor|know everything|headache|spare time|make more money,3
1543,What does a person do at the end of the day?,make money|cross street|sleep|draw attention to themselves|come home,4
1544,The work was pure math.  It couldn't be what to practical applications?,contaminated|dirty|smoothed|corrupt|applied,4
1545,How does a maid start her work?,cleaning house|bathroom|clean room|clean house|airing sleeping room,2
1546,Where do kids in elementary school keep grapes?,kitchen|wine country|fridge|lunch box|food store,3
1547,"The man needed representation for arbitration, and a professional decided on giving assistance, what are they trying to avoid?",death|law suits|out of pocket|feel loved|surgery,1
1548,Why do people go to see others playing baseball?,pain|delight|entertainment|stupid|fun,2
1549,He tried to remain calm but his wife was completely what?,frenzied|frustrated|flustered|wild|anxious,2
1550,When their litter box is full where might a cat go to the bathroom?,houseplant|bathtub|dumpsters|urban neighborhood|floor,0
1551,How is cheese kept freshest?,burger|market|refrigerator|pizza|plate,2
1552,What do people who are construction workers do?,make music|build houses|talk to each other|make gingerbread houses|complete sentences,1
1553,Where might an expressway leave the Us to go?,large city|canada|country|map|highways,1
1554,What is needed when creating art that includes singing?,enlightenment|communication|voices|controversy|pride,1
1555,Where is there likely to be a large volume of text?,bookshelf|collection of books|books|set of books|library,4
1556,Who take stand in a trial to help a case?,witness|testify|give testimony|judge|tell truth,0
1557,What does eating hamburgers to fast lead to?,gaining weight|stomach ache|gain weight|get full|constipation,1
1558,When you want to see new items what do you have to do?,go to movies|open eyes|have eyes open|ask|look for,1
1559,Each generation thinks the next's what just sounds like noise?,music|ball stopped|quietness|alerting|silence,0
1560,Where do soldiers not deployed eat their food?,neighbor's house|at home|military base|shelf|kitchen,2
1561,"The work was done and it was a success, it was now time to what?",reproduce|jump around|have party|hear crowd go mad|celebrate,4
1562,The steel cable could be used to pull the tug if Steve had what?,winch|wrench|suspension bridge|factory|ship,0
1563,What does eating lunch accomplish?,having energy|satisfy hunger|feel full|feel sleepy|drowsiness,1
1564,"He needed to convert an inch measurement, to what system did he look?",liquid measure|centimeter|centimetre|metric|mile,3
1565,"The team was able to communicate effectively, they knew what each other would what?",send email|talk with people|ring up the president of bermuda|think|speak to,3
1566,The president keeps his pajamas where?,white house|corporation|closet|country|government,0
1567,John is in a dressing room changing into shorts and sweat pants.  What sort of building is he most likely to be in?,gym|swimming pool|theatre|department store|boutique,0
1568,"Sam likes to eat in restaurants, but he always forgets to do what?",make reservations|polite|prepared to pay|drinking wine|pay the bill,0
1569,What does a server need to be to serve customers well?,polite|commercial|make money|drivers license|smile,0
1570,Where would you put something after an iron has been used on it?,ironing board|house|linen closet|laundry room|kitchen,2
1571,Though they were more safe in the basement the weather still put them what?,precarious|unprotected|in danger|dangerous|at risk,2
1572,What burning  feeling is eating hamburger in large amunts likely to cause?,gas|being full|death|heartburn|food poisoning,3
1573,John plays brass instruments in a band that has a lot of diverse people in it and many different instruments.   They mostly play at clubs.  What sort of band might he be in.,rubber band|annoy mom|brass band|marching band|jazz band,4
1574,Waiting for a bus that has already came and went would be an example of bad what?,timing|getting bored|patience|expenditure of time|public transportation,0
1575,"Washing clothes at the laundromat was time consuming, most people waited and would do what?",time|singing|getting wet|socks|watch tv,4
1576,Where do investment bankers hang out in the suburbs?,wall street|city hall|monopoly game|michigan|country club,4
1577,"The person was shocked when the FBI talked to her about some facebook posts, what did the person want?",money|food and water|freedom of information|compliments|freedom of expression,4
1578,"The teacher could write off paper clips, this was because they were necessary for her what?",drawer|fashioned into simple tools|desktop|university|work,4
1579,"The class got to tour the launch pad, one student looked up imagining all the shuttle launches from where?",nasa|space center|movie|florida|cape kennedy,4
1580,"You'd find a metal rod or two in welding, home improvement, and manufacturing whats?",broken bone|construction site|shops|cars|engine,2
1581,"When deciding how to shop cereal, what decision to most cereal manufacturers make?",cabinet|box|fridge|cupboard|mouth,1
1582,Where can you find the U.S. federal government?,washington d.c|canada|country|capitol building|democracy,0
1583,What can you use hear other people but not be heard yourself?,television|radio|telephone|mouth|song,1
1584,"If I'm not free, what am I?",paid for|enslaved|expensive|imprisoned|locked up,3
1585,Where do I store folding chairs for religious experiences?,closet|church|room|basement|garage,1
1586,"When the US is at war, where will it likely drop bombs?",canada|afghanistan|aircraft|arsenal|suitcase,1
1587,"He was having a hard time breathing, on top of the mountain it was thin what?",oxygen|carbon monoxide|abdominal muscles|air|open throat,3
1588,"The toddler is awaking from a nap, what doesn't he feel anymore?",nervous|eyes opening|getting out of bed|tiredness|discomfort,3
1589,"If you think that the surface of the road is not good, what would you do?",object|yell|tetrahedron|mirror|lake,0
1590,What does a person try to do in a dangerous situation?,compliments|stay alive|high wages|husband or wife|talk fast,1
1591,What does a person do in a garden?,work|catch cold|plant flowers|gain respect|fish lake,2
1592,"He turned off his phone to avoid every single call, all anybody was going to hear from him today was his what?",office|answering machine|voice mail|telephonelines|message,2
1593,A monkey with a knife was spotted picking bananas from a tree.  Where might that monkey have been?,nigeria|brazil|south american country|rain forest|works,2
1594,"The artificial intelligence was constantly analysing the data, it was programmed to always be what?",learning more about|healing|better knowledge|enlightened|change,0
1595,In December how can you throw water at your friends?,tsunami|puddle|snowball|glass|backpack,2
1596,John is drinking down the highway and he's quite lost.  Where might he go to buy a map?,taco bell|truck stop|amusement park|atlas|classroom,1
1597,Jerry was entertaining because he had a super sense of humor.  He brought what to many people?,laughter|excitement|like|favors|happiness,0
1598,Where would you find a railing you hold on to while moving up?,the moon|park|porch|flight of stairs|railway station,3
1599,"A snake is not something you want to come across on a plane, but it's most likely to happen while out in mother what?",nature|pet shop|georgia|tropical forest|france,0
1600,Where do movies often depict a subway station?,capital city|new york|toronto|london|big city,1
1601,What do you need to be able to understand testimony after hearing testimony?,ears|careful listening|change of heart|ability to hear|sleepiness,1
1602,"All the students had to gather for the announcement, as it wrapped up the students began to what?",spread|park|disseminate|disperse|dispense,3
1603,Who might end up with a wound from lying in bed?,patient|hospital|emergency room|senior citizen|injured person,0
